mes	ano	temp
1	1989	27,058065
2	1989	27,604286
3	1989	27,477931
4	1989	26,235
5	1989	26,213793
6	1989	25
7	1989	24,492381
8	1989	24,750323
9	1989	26,259333
10	1989	26,684667
11	1989	27,039231
12	1989	26
1	1990	27,144516
2	1990	27,26
3	1990	27,651333
4	1990	27,451333
5	1990	26,357241
6	1990	25,374667
7	1990	25,082963
8	1990	24,576
9	1990	25,773333
10	1990	26,419355
11	1990	26,752143
12	1990	26,959048
1	1991	27,609677
2	1991	27,735714
3	1991	27,38129
4	1991	26,935172
5	1991	25,917037
6	1991	25,308966
7	1991	24,396667
8	1991	24,308
9	1991	25,348
10	1991	25,919355
11	1991	26,532
12	1991	26
1	1992	27,379355
2	1992	26,958571
3	1992	26,653548
4	1992	26,716
5	1992	26,494667
6	1992	25,013793
7	1992	24,513793
8	1992	24,527097
9	1992	25,670714
10	1992	26,28
11	1992	26,508148
12	1992	26,8616
1	1993	26,878065
2	1993	27,363571
3	1993	27,54129
4	1993	27,024828
5	1993	26,759259
6	1993	25,495862
7	1993	24,745185
8	1993	25,457241
9	1993	26,167586
10	1993	26,4325
11	1993	26,898
12	1993	27,294194
1	1994	27,189677
2	1994	27,577857
3	1994	27,207742
4	1994	26,388
5	1994	26,2168
6	1994	24,948571
7	1994	24,6
8	1994	25,142581
9	1994	25,515333
10	1994	26,445806
11	1994	26,546667
12	1994	26
1	1995	27,052903
2	1995	27,619286
3	1995	27,545161
4	1995	26,817333
5	1995	25,992258
6	1995	25,093333
7	1995	23,925806
8	1995	25,015484
9	1995	25,295333
10	1995	26,099355
11	1995	26,351333
12	1995	27,14
1	1996	27,428387
2	1996	27,528966
3	1996	27,030968
4	1996	26,606667
5	1996	26,467742
6	1996	25,014
7	1996	24,395484
8	1996	24,769032
9	1996	25,449333
10	1996	26,405161
11	1996	26,804
12	1996	27,540645
1	1997	27,522581
2	1997	27,576429
3	1997	27,131613
4	1997	26,694
5	1997	25,922581
6	1997	25,228
7	1997	24,656129
8	1997	24,487742
9	1997	25,748
10	1997	26,743871
11	1997	27,130667
12	1997	27,448387
1	1998	27,743226
2	1998	28,382857
3	1998	28,663871
4	1998	28,406667
5	1998	27,14
6	1998	25,563333
7	1998	24,387742
8	1998	24,947742
9	1998	25,868
10	1998	26,453548
11	1998	26,843333
12	1998	27,105161
1	1999	26,903871
2	1999	26,725714
3	1999	26,680645
4	1999	26,432
5	1999	25,550968
6	1999	25,015333
7	1999	24,491613
8	1999	24,308966
9	1999	25,125333
10	1999	25,649032
11	1999	26,465333
12	1999	26,397419
1	2000	26,530323
2	2000	26,775862
3	2000	27,003871
4	2000	26,26
5	2000	25,710968
6	2000	24,446
7	2000	23,619355
8	2000	24,34
9	2000	25,314
10	2000	25,867097
11	2000	26,165333
12	2000	26,334667
1	2001	26,24
2	2001	26,942857
3	2001	26,734839
4	2001	25,813333
5	2001	26,527742
6	2001	24,412
7	2001	24,243871
8	2001	23,79871
9	2001	25,067333
10	2001	26,04129
11	2001	26,615333
12	2001	27,656774
1	2002	27,243871
2	2002	27,53
3	2002	27,036129
